job_id,driver_id,scheduled_time,actual_time,priority,traffic_level,status,pickup_lat,pickup_lon,drop_lat,drop_lon
J024,D03,40,39,high,heavy,delivered,54.996210099245246,-1.645004357653136,54.96338808277997,-1.6718713006354564
J025,D25,50,78,high,heavy,delayed,52.44574709101192,-1.932253606556263,52.51004555622861,-1.961758172970907
J026,D01,32,55,medium,medium,delayed,52.49623248244692,-1.8815134391361805,52.51183553300969,-1.782931052282154
J027,D34,52,72,low,low,on_route,52.457630019674944,-1.912168321843743,52.37770633796278,-2.007593288339398
J028,D06,23,32,low,medium,on_route,51.5386342742643,-0.15046493416724338,51.555031970696824,-0.16104760732181736
J029,D17,44,61,medium,medium,on_route,55.94216942290088,-3.2360271940224723,55.95748789320295,-3.224907927363552
J030,D17,54,72,medium,medium,on_route,55.01961841427197,-1.6592709127133292,55.047427646810405,-1.7348541198230374
J031,D06,22,46,low,heavy,delivered,51.51034485948421,-0.16398525833387972,51.560406225518946,-0.24538165129433376
J032,D21,48,43,medium,low,delayed,51.524922241855705,-0.11512083648909593,51.55124657136264,-0.15142388816178848
J033,D32,46,46,low,heavy,delayed,54.973577452986106,-1.5702381591432037,55.05020345285004,-1.4911781762052505
J034,D05,34,34,low,low,delivered,51.479515188721,-0.13515081410293397,51.462375154645734,-0.13647570125433156
J035,D22,29,48,medium,low,on_route,51.51489169919151,-0.12975722442419013,51.4609539794174,-0.1554083074393369
J036,D05,31,56,medium,medium,on_route,55.947277120189376,-3.2369970381527198,56.02159599713473,-3.1757527287247482
J037,D33,24,37,high,heavy,delayed,55.99324279177868,-3.1586614054065314,56.05055271735774,-3.1397639170145406
J038,D21,22,39,high,heavy,delivered,54.974664370771194,-1.614919166119931,54.94114690708027,-1.6342590878873033
J039,D36,31,39,low,heavy,delivered,54.99443846658042,-1.5821403187079994,54.999761313946955,-1.5904900059268035
J040,D17,34,44,medium,medium,delivered,55.963415890247816,-3.207915524357996,55.896614341679815,-3.1804077360627683
J041,D37,21,49,low,low,delivered,51.479388654246236,-0.13281929758559957,51.4118061952054,-0.11075801094923296
J042,D12,30,29,low,low,delivered,52.450288234847086,-1.8969838338204608,52.362913912162476,-1.962253967070857
J043,D03,28,32,high,medium,delivered,54.9534467634535,-1.6240374176832053,54.91983692203714,-1.5400175459742083
J044,D09,31,52,high,medium,delayed,52.52438296350241,-1.8521733372667446,52.616262144807344,-1.9220850391479931
J045,D13,48,68,high,medium,on_route,54.99032188626382,-1.6257865195765515,54.97560317497435,-1.7009344552236818
J046,D29,24,33,high,heavy,delivered,51.46819417736138,-0.17006822331606508,51.493557190361464,-0.11952372177156381
J047,D16,60,68,medium,heavy,on_route,51.498997744989,-0.12333016324256232,51.42619827713237,-0.2048268038180665
J048,D07,30,50,medium,heavy,delayed,55.94918099119667,-3.19011840777058,56.02622261386355,-3.1686706270388583
J049,D11,60,58,low,heavy,delivered,55.945302744174114,-3.225319862924728,55.931898841933716,-3.233456401275507
J050,D31,36,51,medium,medium,on_route,54.9959802690147,-1.6368894504359552,55.04483848867708,-1.6786853906527874
J051,D01,46,58,high,heavy,delayed,52.455604935182855,-1.9345011272952377,52.49496738077852,-1.9342687065937227
J052,D15,45,67,high,low,delayed,52.45391133163158,-1.8610420908471834,52.427414752814066,-1.8026938621037998
J053,D06,27,23,medium,heavy,on_route,55.00208167486683,-1.5773162515406463,54.968902729511335,-1.5134429986960527
J054,D40,38,63,high,heavy,on_route,54.94026149917095,-1.5900984369904545,54.95463068297118,-1.6896541228438824
J055,D14,29,52,medium,medium,delivered,53.46624799549471,-2.2763594768684263,53.566226525546384,-2.3061716601585056
J056,D15,23,40,high,medium,delivered,55.9860317745816,-3.184836831100014,56.0581619923933,-3.1252194122439034
J057,D23,49,56,low,medium,delayed,53.52733096939612,-2.2884441908271667,53.4393998641108,-2.3099609776737835
J058,D35,54,69,high,medium,delivered,52.52087238483441,-1.8803303264180342,52.525690087656805,-1.9801686287029503
J059,D16,49,74,medium,low,on_route,55.991759582350674,-3.184726766053084,56.04629924171049,-3.143259736840562
J060,D18,55,53,high,medium,on_route,55.96524465041491,-3.186331244281569,55.999082895181886,-3.269031228870545
J061,D10,53,77,low,medium,delayed,55.952227151543845,-3.1423493656635593,55.97556551102216,-3.227020878108276
J062,D03,23,48,medium,heavy,on_route,55.939506764513645,-3.225693930315667,55.93188634418241,-3.157313539391568
J063,D11,60,62,medium,heavy,on_route,52.50847009534956,-1.8522756175200739,52.555593319730455,-1.876441530912021
J064,D34,34,53,medium,low,delayed,52.50222817329669,-1.9228240029562442,52.59478119112473,-1.8469804714806262
J065,D39,28,33,high,heavy,on_route,54.94609330134895,-1.5900405367206252,54.95383584761962,-1.6794141391170962
J066,D36,57,69,low,heavy,on_route,55.970176716905755,-3.2101221257029513,55.878034948167326,-3.2217082960664505
J067,D27,26,32,medium,low,on_route,51.48842563508404,-0.10804935144272826,51.48518961459487,-0.11226741200228062
J068,D34,49,65,high,heavy,delayed,54.96683649807537,-1.5774179974494493,54.9970116953545,-1.6495288550127798
J069,D02,50,46,high,low,delivered,53.47584036941919,-2.2902079435142624,53.55935825494556,-2.3175788136408433
J070,D36,41,48,low,medium,on_route,54.98292724888219,-1.5889277844965572,54.88877408223796,-1.494049679836513
J071,D20,20,27,high,medium,on_route,53.5196495877909,-2.2424525941717905,53.54882741998441,-2.1608218937152874
J072,D37,45,45,high,low,delayed,51.502583397186235,-0.15045116960666602,51.50677930246725,-0.10588794046736785
J073,D10,55,76,high,heavy,delayed,52.497193753828306,-1.9008400813472741,52.469953588387746,-1.8856683966528927
J074,D27,50,72,high,heavy,delayed,55.9478816776475,-3.1589318836651357,55.988669145300825,-3.092780067349405
J075,D18,29,38,low,medium,delivered,53.44472601634653,-2.2195286835436696,53.37431197923262,-2.204126699698324
J076,D09,30,36,low,heavy,on_route,53.47275040744502,-2.2333265167296728,53.41633394885417,-2.3188265497346747
J077,D09,22,38,medium,low,delayed,51.527305891966606,-0.1221095574825467,51.53207506221495,-0.11545491132129196
J078,D30,47,73,medium,heavy,delayed,51.479646521445495,-0.14167869122311677,51.53775664921415,-0.09758797713583245
J079,D25,55,67,medium,medium,delayed,53.486339118063,-2.213868021888139,53.43966762932469,-2.1217070436198826
J080,D36,43,69,low,low,on_route,53.445174198299874,-2.198205917382318,53.48868700227616,-2.138124657962772
